"","VIS_min","VIS_max","VIS_mean","VIS_mean_distribution","VIS_contrast","VIS_entropy","VIS_second_angular_momentum","IR_min","IR_max","IR_mean"
"1",0.03125,0.110671936758893,0.0204780602222906,0.021751574127075,0.00283071683926713,0.519033974621367,0.0851636174667951,0.921951219512195,0.962616822429907,0.967300563797491
"2",0.03125,0.375494071146245,0.0833043927702154,0.168860904407556,0.0688155108980991,0.0889275480966025,0.216546685619087,0.775609756097561,0.88785046728972,0.870289754269395
"3",0.140625,0.561264822134387,0.434138066108885,0.419576416714368,0.224930618012396,0.0132009823986901,0.426419847324272,0.658536585365854,0.889440910123699,0.701710212999255
"4",0.015625,0.596837944664032,0.166030467933733,0.294218660560962,0.236461901177573,0.101719197707736,0.472442901899906,0.565853658536585,0.869158878504673,0.793958611208851
"5",0.015625,0.462450592885375,0.0818582285117244,0.204350314825415,0.113599552120301,0.0901555464592714,0.441464263778549,0.68780487804878,0.869158878504673,0.851974109502729
"6",0.046875,0.24901185770751,0.110639340851215,0.135088723526045,0.0334941902307749,0.0734752353663528,0.209332538554419,0.88780487804878,0.91588785046729,0.904171610464212
"7",0.015625,0.367588932806324,0.105056095326883,0.210646823125358,0.102721413621092,0.0774662300450266,0.210492325019177,0.8,0.981308411214953,0.932395852938048
"8",0.078125,0.541501976284585,0.243896749943908,0.408128219805381,0.250780844984036,0.0160663119115841,0.478398645082856,0.678048780487805,0.85981308411215,0.763401441815935
"9",0.640625,0.620553359683794,0.746616175565674,0.352032054951345,0.149167225669716,0.0174989766680311,0.395489904565482,0.712195121951219,0.710280373831776,0.579766298166226
"10",0.15625,0.596837944664032,0.399138373409534,0.525472238122496,0.349446325072152,0.00941465411379451,0.423537449398871,0.678048780487805,0.88785046728972,0.736487271596553
"11",0.140625,0.557312252964427,0.514838918923722,0.274184315970235,0.0901187255809848,0.0238436348751535,0.424378398726022,0.648780487804878,0.906542056074766,0.616685623573118
"12",0.015625,0.466403162055336,0.111477568163357,0.236405266170578,0.155604147109497,0.0835038886614818,0.238989045478455,0.775609756097561,0.953271028037383,0.910468303779652
"13",0.09375,0.458498023715415,0.297321893357049,0.27819118488838,0.108961586093507,0.0255832992222677,0.565748564631941,0.439024390243902,0.794392523364486,0.559469588485111
